I3TYPE,RA,DEC
gfu-bronze,74.14,-17.74
gfu-bronze,100.37,11.15
ehe-gold,144.98,-2.39
gfu-bronze,141.37,26.94
gfu-bronze,258.4,32.84
gfu-bronze,77.08,1.23
hese-bronze,225.22,-34.95
ehe-gold,270.18,-8.42
gfu-bronze,78.27,21.54
gfu-bronze,6.02,18.84
gfu-gold,25.71,11.72
gfu-bronze,324.58,51.74
gfu-gold,132.19,32.93
hese-bronze,316.41,-31
gfu-bronze,56.91,-0.82
hese-gold,307.44,-32.22
gfu-bronze,245.08,38.78
gfu-gold,228.25,-4.14
hese-gold,268.59,-17
gfu-bronze,155.21,19.67
gfu-bronze,81.25,3.21
gfu-bronze,310.61,12.22
gfu-bronze,219.33,11.72
gfu-bronze,245.57,21.98
gfu-bronze,154.86,5.27
gfu-bronze,166.9,17.39
ehe-gold,120.19,6.43
hese-bronze,65.17,-37.26
gfu-gold,127.88,12.6
gfu-gold,312.19,26.57
gfu-gold,343.52,10.28
gfu-bronze,29.12,84.56
gfu-bronze,161.81,26.9
gfu-bronze,76.64,12.75
gfu-gold,226.14,10.77
gfu-bronze,148.54,1.45
ehe-gold,167.3,-22.27
gfu-gold,5.71,-1.53
gfu-gold,313.99,12.79
gfu-gold,229.31,3.77
gfu-bronze,27.03,0.07
gfu-bronze,80.16,2.87
gfu-bronze,286.83,58.45
gfu-bronze,48.47,20.11
gfu-gold,165.45,11.8
gfu-bronze,116.02,29.18
gfu-bronze,67.41,-14.59
gfu-bronze,242.58,11.61
gfu-bronze,87.93,8.23
gfu-bronze,99.97,53.72
gfu-bronze,295.18,15.79
gfu-bronze,338.64,1.75
ehe-gold,255.37,26.61
gfu-bronze,33.84,31.61
gfu-gold,142.95,3.66
gfu-bronze,162.11,11.95
gfu-bronze,157.25,47.75
gfu-bronze,51.11,38.11
gfu-bronze,109.78,14.36
gfu-bronze,195.29,26.24
ehe-gold,96.46,-4.33
gfu-bronze,184.75,32.93
gfu-gold,29.53,3.47
gfu-gold,265.17,5.34
gfu-bronze,221.22,14.44
gfu-bronze,260.82,14.55
gfu-gold,105.73,5.87
gfu-gold,195.12,1.38
gfu-bronze,307.66,40.72
ehe-gold,30.54,-12.1
ehe-gold,6.86,-9.25
gfu-gold,261.69,41.81
gfu-gold,206.37,13.44
gfu-gold,206.06,4.78
gfu-bronze,143.53,41.81
gfu-bronze,268.42,3.81
gfu-bronze,91.76,9.52
gfu-bronze,337.41,18.37
gfu-bronze,340.75,12.94
hese-bronze,46.49,-1.34
gfu-bronze,105.73,14.79
gfu-gold,270.79,25.28
gfu-gold,60.73,-4.18
gfu-bronze,253.3,-1.72
gfu-bronze,42.45,0.15
gfu-gold,225.35,-0.07
gfu-bronze,265.52,7.33
gfu-bronze,43.59,22.59
gfu-bronze,114.52,15.56
gfu-bronze,316.05,15.79
gfu-bronze,199.34,17.04
gfu-bronze,357.45,25.28
ehe-gold,21.36,-3.88
gfu-bronze,216.12,15.56
gfu-gold,267.01,-3.66
hese-gold,287.84,20.74
gfu-bronze,34.72,0
gfu-gold,267.8,11.42
gfu-gold,48.78,4.48
gfu-gold,314.82,8.61
gfu-bronze,155.74,11.19
gfu-bronze,134.47,-1.27
gfu-bronze,320.62,29.06
gfu-bronze,113.64,5.83
gfu-gold,346.11,8.91
ehe-gold,268.24,-10.73
gfu-bronze,311.57,18.68
gfu-gold,334.25,5.38
gfu-gold,224.03,-1.34
gfu-bronze,47.2,-3.28
gfu-gold,224.12,41.31
gfu-bronze,165.59,5.3
gfu-bronze,163.92,4.33
gfu-bronze,273.08,21.54
gfu-bronze,224.81,44.7
gfu-bronze,75.15,3.58
gfu-bronze,207.42,10.43
gfu-bronze,209.62,15.09
gfu-bronze,298.92,3.73
gfu-bronze,332.58,22.75
gfu-bronze,6.86,10.43
gfu-gold,349.63,34.32
gfu-bronze,335.74,1.42
gfu-gold,31.9,4.18
gfu-bronze,24.35,0.9
gfu-bronze,16.79,7.78
gfu-bronze,345.41,12.1
hese-bronze,124.54,20.74
gfu-bronze,359.03,3.13
gfu-gold,72.86,34.23
gfu-bronze,8.17,1.94
gfu-bronze,120.85,9.75
gfu-bronze,345.85,9.14
gfu-gold,50.19,21.06
gfu-bronze,17.05,37.08
gfu-bronze,318.43,2.84
gfu-bronze,68.2,24.21
gfu-gold,269.03,-1.94
gfu-bronze,127.18,20.74
gfu-gold,270.7,8.46
gfu-gold,32.52,-1.87
gfu-bronze,327.04,12.33
gfu-bronze,33.66,7.63
gfu-bronze,163.83,31.83
gfu-gold,143.79,25.04
gfu-bronze,297.16,1.34
