# Rodrigues et al. UHE neutrino flux from all AGN classes, source
# Enu [GeV], Enu^2*phi_nue [GeV cm^{-2} s^{-1} sr^{-1}], Enu^2*phi_numu, Enu^2*phi_nutau, Enu^2*phi_nuebar, Enu^2*phi_numubar, Enu^2*phi_nutaubar
2.14526681e+04 1.05434498e-11 9.99355175e-12 9.30062554e-12 7.38961096e-12 8.71683730e-12 7.98858414e-12
2.30570448e+04 1.16022603e-11 1.09925357e-11 1.02306755e-11 8.13063838e-12 9.59352479e-12 8.79187915e-12
2.47814077e+04 1.27674042e-11 1.20913840e-11 1.12537323e-11 8.94597743e-12 1.05583853e-11 9.67595085e-12
2.66347302e+04 1.40495608e-11 1.33000801e-11 1.23790972e-11 9.84308037e-12 1.16202871e-11 1.06489220e-11
2.86266568e+04 1.54627810e-11 1.46375914e-11 1.36240137e-11 1.08344943e-11 1.27918079e-11 1.17224488e-11
3.07675532e+04 1.70209892e-11 1.61194442e-11 1.50027635e-11 1.19311185e-11 1.40849071e-11 1.29075436e-11
3.30685605e+04 1.87362265e-11 1.77513188e-11 1.65210474e-11 1.31387390e-11 1.55087236e-11 1.42124472e-11
3.55416527e+04 2.06243180e-11 1.95484036e-11 1.81929871e-11 1.44685905e-11 1.70764712e-11 1.56492719e-11
3.81996997e+04 2.26921233e-11 2.15234386e-11 2.00299882e-11 1.59244172e-11 1.87936562e-11 1.72230005e-11
4.10565335e+04 2.49547716e-11 2.36933177e-11 2.20475884e-11 1.75165043e-11 2.06728014e-11 1.89450872e-11
4.41270208e+04 2.74430797e-11 2.60819914e-11 2.42684579e-11 1.92677648e-11 2.27398392e-11 2.08393611e-11
4.74271400e+04 3.01795583e-11 2.87115253e-11 2.67130796e-11 2.11941123e-11 2.50135566e-11 2.29230390e-11
5.09740647e+04 3.31197546e-11 3.15351412e-11 2.93382547e-11 2.32694662e-11 2.74640026e-11 2.51686249e-11
5.47862525e+04 3.62677456e-11 3.45556171e-11 3.21466471e-11 2.54984538e-11 3.00969149e-11 2.75813608e-11
5.88835418e+04 3.97149812e-11 3.78654232e-11 3.52238965e-11 2.79409568e-11 3.29822388e-11 3.02253887e-11
6.32872542e+04 4.34899104e-11 4.14922765e-11 3.85957440e-11 3.06174283e-11 3.61441725e-11 3.31228809e-11
6.80203063e+04 4.74433073e-11 4.52774560e-11 4.21157231e-11 3.34465745e-11 3.94798756e-11 3.61799925e-11
7.31073282e+04 5.15599528e-11 4.92023507e-11 4.57668161e-11 3.64241472e-11 4.29825165e-11 3.93905683e-11
7.85747923e+04 5.60337993e-11 5.34674769e-11 4.97344297e-11 3.96668057e-11 4.67959156e-11 4.28860526e-11
8.44511506e+04 6.08958412e-11 5.81023278e-11 5.40460040e-11 4.31981506e-11 5.09476442e-11 4.66917287e-11
9.07669830e+04 6.58860367e-11 6.28542169e-11 5.84668218e-11 4.68713370e-11 5.52493460e-11 5.06358561e-11
