# lgE/eV	E2phi_tot [GeV/cm2/s/sr]	e+ebar	mu+mubar	tau+taubar	lowE
1.635000000000000142e+01	3.232249999999999876e-09	1.145761999999999998e-09	1.050531999999999904e-09	1.035961000000000120e-09	1.201030000000000064e-41
1.644999999999999929e+01	3.484810000000000087e-09	1.235780999999999954e-09	1.132401999999999953e-09	1.116627999999999879e-09	1.315499999999999870e-60
1.655000000000000071e+01	3.570229999999999985e-09	1.267336999999999963e-09	1.159610999999999998e-09	1.143283999999999833e-09	1.298129999999999986e-90
1.664999999999999858e+01	3.429969999999999892e-09	1.217026999999999958e-09	1.114282000000000020e-09	1.098664999999999949e-09	3.998600000000000241e-138
1.675000000000000000e+01	3.073950000000000123e-09	1.086708000000000049e-09	1.000360999999999954e-09	9.868850000000001546e-10	2.217850000000000072e-213
1.685000000000000142e+01	2.547770000000000188e-09	8.968359999999999417e-10	8.307980000000000504e-10	8.201319999999999551e-10	0.000000000000000000e+00
1.694999999999999929e+01	1.901950000000000034e-09	6.661109999999999965e-10	6.216819999999999838e-10	6.141609999999999846e-10	0.000000000000000000e+00
1.705000000000000071e+01	1.273859999999999983e-09	4.427960000000000289e-10	4.178310000000000019e-10	4.132290000000000213e-10	0.000000000000000000e+00
1.714999999999999858e+01	7.482739999999999743e-10	2.565270000000000179e-10	2.469920000000000090e-10	2.447549999999999990e-10	0.000000000000000000e+00
1.725000000000000000e+01	3.732310000000000215e-10	1.258519000000000211e-10	1.241102999999999907e-10	1.232686999999999778e-10	0.000000000000000000e+00
1.735000000000000142e+01	1.564809999999999945e-10	5.176749999999999727e-11	5.246810000000000258e-11	5.224519999999999553e-11	0.000000000000000000e+00
1.744999999999999929e+01	5.340459999999999723e-11	1.717275000000000152e-11	1.812169000000000091e-11	1.811013000000000010e-11	0.000000000000000000e+00
1.755000000000000071e+01	1.496429999999999996e-11	4.730439999999999784e-12	5.113260000000000368e-12	5.120640000000000282e-12	0.000000000000000000e+00
1.764999999999999858e+01	4.254080000000000388e-12	1.375385000000000000e-12	1.440294999999999973e-12	1.438403999999999896e-12	0.000000000000000000e+00
1.775000000000000000e+01	8.097020000000000167e-13	2.677739999999999655e-13	2.715343000000000136e-13	2.703942999999999801e-13	0.000000000000000000e+00
1.785000000000000142e+01	2.073879999999999944e-13	6.635029999999999901e-14	7.051950000000000057e-14	7.051859999999999852e-14	0.000000000000000000e+00
1.794999999999999929e+01	4.531219999999999977e-14	1.626594999999999997e-14	1.463855000000000039e-14	1.440771000000000077e-14	0.000000000000000000e+00
1.805000000000000071e+01	2.105790000000000007e-14	5.616665999999999748e-15	7.647620000000000209e-15	7.793605000000000154e-15	0.000000000000000000e+00
1.814999999999999858e+01	8.101429999999999590e-15	3.288634000000000024e-15	2.451840000000000019e-15	2.360958999999999795e-15	0.000000000000000000e+00
1.825000000000000000e+01	3.708140000000000238e-16	1.946512499999999895e-16	9.303769999999999914e-17	8.312539999999999681e-17	0.000000000000000000e+00
1.835000000000000142e+01	7.177529999999999740e-18	2.670939999999999903e-18	2.277728999999999923e-18	2.228860999999999915e-18	0.000000000000000000e+00
1.844999999999999929e+01	2.037170000000000077e-17	1.120288675999999895e-17	4.889859580000000069e-18	4.278909029999999517e-18	0.000000000000000000e+00
1.855000000000000071e+01	1.431019999999999953e-21	3.470530570000000145e-22	5.347640600000000008e-22	5.492001870000000871e-22	0.000000000000000000e+00
1.864999999999999858e+01	4.073799999999999853e-25	9.876183088999999358e-26	1.522516179299999871e-25	1.563663878399999942e-25	0.000000000000000000e+00
1.875000000000000000e+01	1.084359999999999960e-29	4.040749999999999727e-30	3.438730000000000405e-30	3.364169999999999963e-30	0.000000000000000000e+00
1.885000000000000142e+01	7.802039999999999632e-36	3.168080000000000132e-36	2.360802000000000028e-36	2.273159000000000055e-36	0.000000000000000000e+00
1.894999999999999929e+01	9.534279999999999499e-46	3.257279999999999941e-46	3.152017000000000155e-46	3.124993999999999809e-46	0.000000000000000000e+00
1.905000000000000071e+01	6.511669999999999910e-47	1.578590000000005928e-47	2.433650000000002258e-47	2.499430000000002663e-47	0.000000000000000000e+00
1.914999999999999858e+01	3.143120000000000171e-62	8.967290000000000898e-63	1.116102999999999847e-62	1.130289199999999934e-62	0.000000000000000000e+00
1.925000000000000000e+01	3.224279999999999750e-88	1.246473000000000101e-88	1.002923000000000030e-88	9.748889999999999190e-89	0.000000000000000000e+00
1.935000000000000142e+01	1.252659999999999987e-65	3.036740000000000040e-66	4.681640000000000177e-66	4.808170000000000295e-66	0.000000000000000000e+00
1.944999999999999929e+01	9.511400000000000477e-130	2.305789999999999847e-130	3.554770000000000095e-130	3.650840000000000135e-130	0.000000000000000000e+00
1.955000000000000071e+01	2.094759999999999907e-194	5.078200000000000315e-195	7.828900000000000504e-195	8.040489999999999677e-195	0.000000000000000000e+00
1.964999999999999858e+01	4.745040000000000148e-297	1.150310000000000085e-297	1.773399999999999945e-297	1.821329999999999948e-297	0.000000000000000000e+00
1.975000000000000000e+01	6.819350000000000543e-297	2.823756000000000047e-297	2.039662000000000015e-297	1.955926999999999731e-297	0.000000000000000000e+00
1.985000000000000142e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.994999999999999929e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.005000000000000071e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.014999999999999858e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.025000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.035000000000000142e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.044999999999999929e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.055000000000000071e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.064999999999999858e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.075000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.085000000000000142e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.094999999999999929e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.105000000000000071e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.114999999999999858e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.125000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.135000000000000142e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.144999999999999929e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.155000000000000071e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.164999999999999858e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.175000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.185000000000000142e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.194999999999999929e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
