# lgE/eV	E2phi_tot [GeV/cm2/s/sr]	e+ebar	mu+mubar	tau+taubar	lowE
1.384999999999999964e+01	8.565790000000000630e-08	1.675440000000000079e-08	1.550582999999999876e-08	1.530529000000000020e-08	3.809240000000000300e-08
1.394999999999999929e+01	7.137620000000000091e-08	1.574992999999999960e-08	1.459407000000000066e-08	1.440709000000000014e-08	2.662510000000000063e-08
1.405000000000000071e+01	6.044009999999999604e-08	1.471336999999999962e-08	1.364523000000000128e-08	1.347157999999999992e-08	1.860990000000000043e-08
1.415000000000000036e+01	5.160730000000000314e-08	1.356658000000000011e-08	1.259598999999999922e-08	1.243710999999999946e-08	1.300759999999999963e-08
1.425000000000000000e+01	4.443820000000000150e-08	1.241251999999999924e-08	1.153900000000000162e-08	1.139490000000000001e-08	9.091759999999999218e-09
1.434999999999999964e+01	3.846100000000000274e-08	1.126914999999999970e-08	1.048366000000000058e-08	1.035350000000000069e-08	6.354699999999999986e-09
1.444999999999999929e+01	3.323899999999999740e-08	1.009709999999999980e-08	9.407890000000000276e-09	9.292529999999999963e-09	4.441530000000000068e-09
1.455000000000000071e+01	2.897689999999999989e-08	9.061769999999999821e-09	8.456650000000000157e-09	8.354279999999999817e-09	3.104170000000000045e-09
1.465000000000000036e+01	2.516299999999999841e-08	8.053060000000000313e-09	7.515840000000001211e-09	7.424929999999999505e-09	2.169190000000000034e-09
1.475000000000000000e+01	2.180389999999999912e-08	7.098690000000000020e-09	6.634639999999999745e-09	6.555319999999999238e-09	1.515279999999999962e-09
1.484999999999999964e+01	1.881339999999999957e-08	6.208089999999999807e-09	5.808319999999999232e-09	5.739489999999999998e-09	1.057549999999999931e-09
1.494999999999999929e+01	1.605310000000000033e-08	5.355189999999999992e-09	5.010419999999999744e-09	4.951040000000000307e-09	7.364410000000000008e-10
1.505000000000000071e+01	1.366540000000000039e-08	4.588620000000000229e-09	4.308170000000000023e-09	4.258600000000000163e-09	5.099729999999999718e-10
1.515000000000000036e+01	1.149759999999999967e-08	3.883310000000000314e-09	3.653640000000000217e-09	3.612360000000000128e-09	3.482959999999999934e-10
1.525000000000000000e+01	9.639379999999999856e-09	3.269900000000000051e-09	3.086659999999999761e-09	3.052780000000000288e-09	2.300429999999999882e-10
1.534999999999999964e+01	7.940240000000000696e-09	2.709819999999999644e-09	2.558879999999999750e-09	2.530880000000000260e-09	1.406630000000000084e-10
1.544999999999999929e+01	6.515209999999999880e-09	2.230465000000000114e-09	2.116803000000000099e-09	2.094674999999999697e-09	7.326220000000000422e-11
1.555000000000000071e+01	5.273109999999999795e-09	1.814638999999999941e-09	1.723801999999999999e-09	1.705944000000000039e-09	2.872550000000000074e-11
1.565000000000000036e+01	4.236489999999999709e-09	1.457326999999999842e-09	1.392722999999999844e-09	1.379108999999999895e-09	7.330890000000000482e-12
1.575000000000000000e+01	3.358679999999999821e-09	1.152699999999999959e-09	1.107610999999999971e-09	1.097364999999999963e-09	1.000819999999999970e-12
1.584999999999999964e+01	2.624939999999999830e-09	8.957439999999999831e-10	8.682239999999999582e-10	8.609180000000000456e-10	5.227880000000000060e-14
1.594999999999999929e+01	2.067770000000000191e-09	7.086640000000000459e-10	6.826279999999999303e-10	6.764759999999999912e-10	5.988619999999999678e-16
1.605000000000000071e+01	1.621890000000000073e-09	5.517479999999999645e-10	5.372190000000000243e-10	5.329279999999999199e-10	6.194809999999999896e-19
1.614999999999999858e+01	1.275070000000000023e-09	4.345670000000000049e-10	4.219919999999999734e-10	4.185139999999999674e-10	1.417840000000000026e-23
1.625000000000000000e+01	1.008100000000000065e-09	3.432260000000000305e-10	3.337890000000000351e-10	3.310860000000000083e-10	7.727930000000000145e-31
1.635000000000000142e+01	8.084059999999999689e-10	2.774210000000000184e-10	2.667189999999999761e-10	2.642670000000000346e-10	2.931359999999999917e-42
1.644999999999999929e+01	6.738300000000000399e-10	2.310062999999999956e-10	2.224199999999999929e-10	2.204049999999999746e-10	2.864129999999999976e-60
1.655000000000000071e+01	5.629180000000000407e-10	1.960532999999999769e-10	1.844738000000000067e-10	1.823907999999999995e-10	1.009080000000000034e-88
1.664999999999999858e+01	4.805960000000000431e-10	1.679319999999999997e-10	1.572570000000000082e-10	1.554070999999999896e-10	9.995980000000000180e-134
1.675000000000000000e+01	3.955170000000000209e-10	1.380736000000000049e-10	1.294746000000000122e-10	1.279690000000000158e-10	5.809169999999999704e-205
1.685000000000000142e+01	3.351540000000000092e-10	1.167350999999999912e-10	1.098299000000000040e-10	1.085888000000000019e-10	0.000000000000000000e+00
1.694999999999999929e+01	2.948389999999999783e-10	1.028809999999999935e-10	9.653730000000000225e-11	9.542089999999999461e-11	0.000000000000000000e+00
1.705000000000000071e+01	2.888600000000000241e-10	1.003126999999999952e-10	9.478900000000000737e-11	9.375819999999998959e-11	0.000000000000000000e+00
1.714999999999999858e+01	3.118310000000000061e-10	1.079943000000000073e-10	1.024555000000000139e-10	1.013811000000000047e-10	0.000000000000000000e+00
1.725000000000000000e+01	3.778669999999999836e-10	1.303228999999999895e-10	1.243877000000000129e-10	1.231564999999999872e-10	0.000000000000000000e+00
1.735000000000000142e+01	4.816609999999999769e-10	1.660589000000000044e-10	1.585820000000000010e-10	1.570206000000000016e-10	0.000000000000000000e+00
1.744999999999999929e+01	6.181660000000000137e-10	2.124922000000000109e-10	2.037978000000000063e-10	2.018765000000000008e-10	0.000000000000000000e+00
1.755000000000000071e+01	7.852389999999999599e-10	2.692426999999999744e-10	2.591748000000000261e-10	2.568219999999999637e-10	0.000000000000000000e+00
1.764999999999999858e+01	9.723070000000000009e-10	3.338872999999999891e-10	3.206989999999999800e-10	3.177200000000000154e-10	0.000000000000000000e+00
1.775000000000000000e+01	1.161070000000000003e-09	3.979219999999999727e-10	3.833030000000000359e-10	3.798479999999999688e-10	0.000000000000000000e+00
1.785000000000000142e+01	1.353660000000000059e-09	4.646820000000000090e-10	4.465499999999999727e-10	4.424239999999999913e-10	0.000000000000000000e+00
1.794999999999999929e+01	1.523340000000000036e-09	5.223600000000000449e-10	5.027750000000000552e-10	4.982060000000000475e-10	0.000000000000000000e+00
1.805000000000000071e+01	1.640690000000000049e-09	5.621430000000000098e-10	5.417060000000000523e-10	5.368450000000000213e-10	0.000000000000000000e+00
1.814999999999999858e+01	1.722129999999999925e-09	5.897379999999999543e-10	5.687299999999999582e-10	5.636670000000000554e-10	0.000000000000000000e+00
1.825000000000000000e+01	1.722589999999999942e-09	5.876929999999999888e-10	5.698390000000000626e-10	5.650630000000000369e-10	0.000000000000000000e+00
1.835000000000000142e+01	1.681419999999999969e-09	5.764620000000000097e-10	5.549939999999999965e-10	5.499659999999999804e-10	0.000000000000000000e+00
1.844999999999999929e+01	1.571120000000000050e-09	5.366659999999999333e-10	5.194449999999999573e-10	5.150030000000000051e-10	0.000000000000000000e+00
1.855000000000000071e+01	1.405610000000000071e-09	4.825959999999999328e-10	4.636519999999999619e-10	4.593580000000000385e-10	0.000000000000000000e+00
1.864999999999999858e+01	1.203729999999999937e-09	4.134760000000000206e-10	3.969789999999999999e-10	3.932769999999999852e-10	0.000000000000000000e+00
1.875000000000000000e+01	9.796000000000000087e-10	3.363530000000000068e-10	3.231220000000000346e-10	3.201259999999999759e-10	0.000000000000000000e+00
1.885000000000000142e+01	7.481330000000000055e-10	2.568113999999999968e-10	2.468000000000000163e-10	2.445210000000000079e-10	0.000000000000000000e+00
1.894999999999999929e+01	5.573149999999999516e-10	1.923302999999999888e-10	1.834081999999999850e-10	1.815771000000000140e-10	0.000000000000000000e+00
1.905000000000000071e+01	3.884400000000000049e-10	1.335520000000000109e-10	1.280496000000000145e-10	1.268384000000000053e-10	0.000000000000000000e+00
1.914999999999999858e+01	2.539439999999999866e-10	8.756910000000001145e-11	8.360019999999999995e-11	8.277459999999999507e-11	0.000000000000000000e+00
1.925000000000000000e+01	1.619640000000000106e-10	5.618270000000000132e-11	5.317530000000000506e-11	5.260549999999999996e-11	0.000000000000000000e+00
1.935000000000000142e+01	9.201659999999999790e-11	3.177950000000000126e-11	3.027130000000000330e-11	2.996570000000000024e-11	0.000000000000000000e+00
1.944999999999999929e+01	5.039080000000000294e-11	1.735796999999999980e-11	1.659717000000000086e-11	1.643568000000000091e-11	0.000000000000000000e+00
1.955000000000000071e+01	2.461340000000000092e-11	8.537619999999999723e-12	8.081160000000000273e-12	7.994620000000000926e-12	0.000000000000000000e+00
1.964999999999999858e+01	1.145210000000000045e-11	3.932959999999999834e-12	3.777120000000000368e-12	3.741989999999999891e-12	0.000000000000000000e+00
1.975000000000000000e+01	4.604719999999999790e-12	1.593906999999999905e-12	1.513286999999999992e-12	1.497526999999999865e-12	0.000000000000000000e+00
1.985000000000000142e+01	1.704559999999999958e-12	6.227949999999999731e-13	5.459360000000000075e-13	5.358310000000000217e-13	0.000000000000000000e+00
1.994999999999999929e+01	6.562069999999999725e-13	2.292390999999999759e-13	2.147437999999999740e-13	2.122245000000000011e-13	0.000000000000000000e+00
2.005000000000000071e+01	2.206630000000000060e-13	7.710050000000000555e-14	7.220580000000000117e-14	7.135699999999999574e-14	0.000000000000000000e+00
2.014999999999999858e+01	4.241539999999999893e-14	1.400450000000000106e-14	1.423383999999999938e-14	1.417709999999999917e-14	0.000000000000000000e+00
2.025000000000000000e+01	1.052900000000000050e-14	3.250849999999999961e-15	3.631420999999999967e-15	3.646718999999999610e-15	0.000000000000000000e+00
2.035000000000000142e+01	1.416710000000000098e-15	4.362970000000000073e-16	4.891049999999999870e-16	4.913099999999999903e-16	0.000000000000000000e+00
2.044999999999999929e+01	2.308110000000000147e-16	6.412949999999999761e-17	8.270810000000000135e-17	8.397360000000000436e-17	0.000000000000000000e+00
2.055000000000000071e+01	5.604720000000000172e-18	1.592324000000000218e-18	1.993118000000000275e-18	2.019271000000000015e-18	0.000000000000000000e+00
2.064999999999999858e+01	8.143940000000000170e-20	2.139673999999999936e-20	2.971776999999999746e-20	3.032475999999999890e-20	0.000000000000000000e+00
2.075000000000000000e+01	5.959549999999999706e-21	3.178941899999999657e-21	1.473252899999999935e-21	1.307353300000000108e-21	0.000000000000000000e+00
2.085000000000000142e+01	3.900740000000000288e-23	9.535339000000000155e-24	1.454420600000000081e-23	1.492793200000000071e-23	0.000000000000000000e+00
2.094999999999999929e+01	1.437750000000000062e-25	3.485958000000000162e-26	5.373209999999999140e-26	5.518370000000000089e-26	0.000000000000000000e+00
2.105000000000000071e+01	4.663940000000000175e-26	1.130895438000000089e-26	1.742982787999999972e-26	1.790059929000000046e-26	0.000000000000000000e+00
2.114999999999999858e+01	1.990549999999999963e-34	4.825595561499999775e-35	7.439409020500000239e-35	7.640470647999999916e-35	0.000000000000000000e+00
2.125000000000000000e+01	6.875290000000000320e-40	2.351440099065999870e-40	2.271840105536000183e-40	2.252010105556000209e-40	0.000000000000000000e+00
2.135000000000000142e+01	4.046430000000000063e-40	9.809519999999999381e-41	1.512300000000000019e-40	1.553169999999999936e-40	0.000000000000000000e+00
2.144999999999999929e+01	2.478199999999999974e-56	6.007772000000000237e-57	9.261969999999999825e-57	9.512300000000000420e-57	0.000000000000000000e+00
2.155000000000000071e+01	9.715610000000000196e-69	5.343579999999999306e-69	2.331740000000000255e-69	2.040277000000000087e-69	0.000000000000000000e+00
2.164999999999999858e+01	1.160409999999999969e-83	2.813110000000000149e-84	4.336869999999999577e-84	4.454080000000000113e-84	0.000000000000000000e+00
